id	cycle	FieldID	ImageResolutionX	ImageResolutionY	ImageSizeX	ImageSizeY	PositionX	PositionY
115	2	26	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.001162466
116	2	27	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.001162466
117	2	28	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.001162466
118	2	29	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.001162466
119	2	30	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	0.000581233
120	2	31	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.000581233
121	2	32	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.000581233
122	2	33	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.000581233
123	2	34	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.000581233
124	2	35	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.000581233
125	2	36	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.000581233
126	2	37	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.000581233
127	2	38	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.000581233
128	2	39	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.000581233
129	2	40	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	0.000581233
130	2	41	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	0
131	2	42	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0
132	2	43	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0
133	2	44	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0
134	2	45	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0
135	2	46	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0
136	2	47	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0
137	2	48	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0
138	2	49	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0
139	2	50	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	0
140	2	51	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	-0.000581233
141	2	52	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.000581233
142	2	53	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.000581233
143	2	54	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.000581233
144	2	55	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.000581233
145	2	56	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.000581233
146	2	57	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.000581233
147	2	58	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.000581233
148	2	59	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.000581233
149	2	60	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.000581233
150	2	61	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	-0.000581233
151	2	62	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001162465
152	2	63	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001162465
153	2	64	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001162465
154	2	65	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001162465
155	2	66	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001162465
156	2	67	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001162465
157	2	68	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001162465
158	2	69	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001162465
159	2	70	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001162465
160	2	71	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001743698
161	2	72	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001743698
162	2	73	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001743698
163	2	74	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001743698
164	2	75	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001743698
165	2	76	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001743698
166	2	77	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001743698
167	2	78	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001743698
168	2	79	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001743698
169	2	80	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.002324931
170	2	81	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.002324931
171	2	82	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002324931
172	2	83	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002324931
173	2	84	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002324931
174	2	85	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.002324931
175	2	86	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.002324931
176	2	87	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002906164
177	2	88	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002906164
178	2	89	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002906164
179	3	1	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0
180	3	2	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002906164
181	3	3	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002906164
182	3	4	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002906164
