objId	EGFP	OLLAS	ALFA	FLAG	VSVG	bcd
B10n4833	1971.26	96.02	2260.75	210.25	1368.64	FLAG_ALFA_VSVG
B10n4834	6157.25	217.7	5087.16	270.66	7089.68	FLAG_ALFA_VSVG
B10n4835	5251.04	212.62	5136.28	261.16	5876.72	FLAG_ALFA_VSVG
B10n4836	5605.59	146.08	4109.12	216.44	3673.15	FLAG_ALFA_VSVG
B10n4838	2559.35	163.58	540.25	211.3	2657.5	FLAG_ALFA_VSVG
B10n4839	2910	143.09	3163.1	198.9	2164.91	FLAG_ALFA_VSVG
B10n4832	2320.46	146.595	2817.2	233.5	8871.16	FLAG_ALFA_VSVG
B10n4843	2977.635	217.1	2625.44	230.92	3741.64	FLAG_ALFA_VSVG
B10n4841	2855.54	168.35	1907.64	230.72	3080.5	FLAG_ALFA_VSVG
B10n4837	8532.7	176.38	9586.76	462.4	9886.2	FLAG_ALFA_VSVG
B10n4844	3169.4	105.52	3279	256.5	6473	FLAG_ALFA_VSVG
B10n4846	1504.8	202.26	1667	192.4	1014.65	FLAG_ALFA_VSVG
B10n4847	6426.225	217.25	6556.565	285.015	7699.02	FLAG_ALFA_VSVG
B10n4848	5591	210.56	5459.98	235.38	5587.86	FLAG_ALFA_VSVG
B10n4845	3724.11	103.8	3811.75	258	4606.9	FLAG_ALFA_VSVG
B10n4850	3532.2	190.84	3128.4	223.6	3642.44	FLAG_ALFA_VSVG
B10n4851	7265.21	209.4	8092.21	296.66	8735.84	FLAG_ALFA_VSVG
B10n4852	10054.68	213.84	11161.68	371	13375.46	FLAG_ALFA_VSVG
B10n4849	3695.67	167.845	3145.92	226.84	3860.6	FLAG_ALFA_VSVG
B10n4855	3499.3	202.87	3334.3	220.2	3061.76	FLAG_ALFA_VSVG
B10n4853	283.52	163.155	396.88	188.28	411.7	FLAG_ALFA_VSVG
B10n4854	3393.4	144.35	2768.3	250.9	5777.515	FLAG_ALFA_VSVG
B10n4860	2749.38	108.97	2513.99	213.04	2947.66	FLAG_ALFA_VSVG
B10n4857	1148.72	163.82	1396.08	196.6	1126.15	FLAG_ALFA_VSVG
B10n4859	1802.23	97.42	1892.5	217	1659.08	FLAG_ALFA_VSVG
B10n4862	3075.325	209.13	3410.36	245.26	4120.18	FLAG_ALFA_VSVG
B10n4858	1889.88	157.01	1652.76	214.44	1890.75	FLAG_ALFA_VSVG
B10n4861	5498.6	162.28	5708.5	253.4	4836.22	FLAG_ALFA_VSVG
B10n4865	6825.86	211.88	5687.4	294.2	7643.56	FLAG_ALFA_VSVG
B10n4863	2876.36	101.5	2708.48	222.08	3271.9	FLAG_ALFA_VSVG
B10n4864	5991.72	215.57	6631.88	263.82	7033.12	FLAG_ALFA_VSVG
B10n4866	3258.08	222.61	3344.92	247.9	4146.64	FLAG_ALFA_VSVG
B10n4869	6969.325	213.06	6661.56	246.13	6969.06	FLAG_ALFA_VSVG
B10n4867	3901.4	150.45	2980.6	247	5377.965	FLAG_ALFA_VSVG
B10n4880	5630.54	101.4	5843.92	247.94	5868.5	FLAG_ALFA_VSVG
B10n4873	3410.1	221.25	3241.84	217	3211.02	FLAG_ALFA_VSVG
B10n4870	4418.3	164.355	2638.78	244.38	4391.7	FLAG_ALFA_VSVG
B10n4871	2147.34	169.33	2201.6	212.08	2465.1	FLAG_ALFA_VSVG
B10n4872	3705.9	167.925	3139.42	223.44	3548.6	FLAG_ALFA_VSVG
B10n4879	2514.9	147.28	2692.4	244.5	8952.08	FLAG_ALFA_VSVG
